Year,Individual,Sex,Tagged,Lap,Behavior,Minutes,minutes.to.seconds,Seconds,hundreth.of.second,total.seconds
2016,4409,Female,Sham-Tagged,1,rest,0,0,2,36,2.36
2016,4409,Female,Sham-Tagged,2,flying,0,0,0,44,0.44
2016,4409,Female,Sham-Tagged,3,nectar,0,0,5,4,5.4
2016,4409,Female,Sham-Tagged,4,flying,0,0,2,42,2.42
2016,4409,Female,Sham-Tagged,5,nectar,8,480,10,85,490.85
2016,4409,Female,Sham-Tagged,6,flying,0,0,4,88,4.88
2016,4409,Female,Sham-Tagged,7,resting,0,0,4,99,4.99
2016,4409,Female,Sham-Tagged,8,flying,0,0,7,69,7.69
2016,4409,Female,Sham-Tagged,9,nectar,0,0,12,67,12.67
2016,4409,Female,Sham-Tagged,10,na,0,0,0,22,0.22
2016,4409,Female,Sham-Tagged,11,na,0,0,1,78,1.78
2016,4409,Female,Sham-Tagged,12,na,0,0,2,98,2.98
2016,4409,Female,Sham-Tagged,13,na,0,0,0,80,0.8
2016,4409,Female,Sham-Tagged,14,flying,0,0,1,70,1.7
2016,4409,Female,Sham-Tagged,15,nectaring,2,120,55,63,175.63
2016,4409,Female,Sham-Tagged,16,on milkweed,0,0,1,6,1.6
2016,4409,Female,Sham-Tagged,17,na,0,0,4,85,4.85
2016,4409,Female,Sham-Tagged,18,na,0,0,1,12,1.12
2016,4409,Female,Sham-Tagged,19,na,0,0,7,23,7.23
2016,4409,Female,Sham-Tagged,20,flying,0,0,0,74,0.74
2016,4409,Female,Sham-Tagged,21,on plant,0,0,4,63,4.63
2016,4409,Female,Sham-Tagged,22,na,0,0,1,15,1.15
2016,4409,Female,Sham-Tagged,23,na,0,0,2,17,2.17
2016,4409,Female,Sham-Tagged,24,na,0,0,1,29,1.29
2016,4409,Female,Sham-Tagged,25,flying,0,0,1,48,1.48
2016,4409,Female,Sham-Tagged,26,na,0,0,7,29,7.29
2016,4409,Female,Sham-Tagged,27,on plant,0,0,44,37,44.37
2016,4409,Female,Sham-Tagged,28,flying,0,0,3,95,3.95
2016,4409,Female,Sham-Tagged,29,on plant,0,0,51,48,51.48
2016,4409,Female,Sham-Tagged,30,flying,0,0,2,23,2.23
2016,4409,Female,Sham-Tagged,31,on plant,0,0,15,41,15.41
