Year,Site,ID,Date,DaysCaptive,MF,Weight,TagUntag,Temp,WindSpeed,WindDirection,CloudCover,ReleaseSubstraight,Total.seconds,secPlant,secFly,secRest,secFeed,perc.plant,perc.fly,perc.rest,perc.feed
2016,Boone,3,7/8/2016,na,F,na,tagged,na,na,na,na,na,1201.09,1199.88891,1.20109,1199.88891,0,0.999,0.001,1,0
2016,Boone,4,7/8/2016,na,F,na,untagged,na,na,na,na,na,1201.46,1118.55926,82.90074,517.82926,600.73,0.931,0.069,0.462943072,0.537056928
2016,Boone,5,7/8/2016,na,F,na,untagged,na,na,na,na,na,1200.97,1200.97,0,1200.97,0,1,0,1,0
2016,Boone,4403,6/17/2016,na,F,na,untagged,na,na,na,na,na,1202.49,961.992,240.498,188.79093,773.20107,0.8,0.2,0.19625,0.80375
2016,Boone,4404,6/17/2016,na,F,na,untagged,na,na,na,na,na,1200.42,1168.00866,32.41134,9.60336,1158.4053,0.973,0.027,0.008221994,0.991778006
2016,Boone,4409,6/17/2016,na,F,na,tagged,na,na,na,na,na,1204.16,1106.62304,97.53696,350.41056,756.21248,0.919,0.081,0.316648531,0.683351469
2016,Boone,4440,6/17/2016,na,M,na,tagged,na,na,na,na,na,1200,1195.2,4.8,1195.2,0,0.996,0.004,1,0
2016,Boone,4442,6/17/2016,na,M,na,untagged,na,na,na,na,na,1178.5,1137.2525,41.2475,2.357,1134.8955,0.965,0.035,0.002072539,0.997927461
2016,Boone,4450,6/17/2016,na,F,na,untagged,na,na,na,na,na,1207.58,1171.3526,36.2274,30.1895,1141.1631,0.97,0.03,0.025773196,0.974226804
2016,Boone,4460,6/24/2016,na,F,na,tagged,na,na,na,na,na,1188.96,1188.96,0,1188.96,0,1,0,1,0
2016,Boone,4462,6/24/2016,na,F,na,tagged,na,na,na,na,na,1089.61,345.40637,744.20363,14.16493,331.24144,0.317,0.683,0.041009464,0.958990536
2016,Boone,4467,6/24/2016,na,F,na,tagged,na,na,na,na,na,1201.03,1199.82897,1.20103,3.60309,1196.22588,0.999,0.001,0.003003003,0.996996997
