Data File,Column Name,Description
BehaviorAllocations_RawObservations.csv,Year,"Year when observations occurred. Could be 2016, 2017, or 2018."
BehaviorAllocations_RawObservations.csv,Individual,"Identifer for each individual butterfly observed. Numbers/labels have no significance, just meant to ID individuals."
BehaviorAllocations_RawObservations.csv,Sex,Butterfly observed was male (M) or female (F)
BehaviorAllocations_RawObservations.csv,Tagged,Butterfly observed was untagged or sham-tagged with a 300mg watch battery sham transmitter.
BehaviorAllocations_RawObservations.csv,Lap,"Sequential order or behavior. Each line for an individual was the amount of continuous time they were observed engaging in a behavior. When then behavior stopped and a new behavior began, a new lap began. Listed as minutes.seconds.hundreth of second. Later columns convert this to total seconds."
BehaviorAllocations_RawObservations.csv,Behavior,"Description of monarch behavior. Many could be listed, but they were classified as ""on-plant"" or ""in-air"" for analysis"
BehaviorAllocations_RawObservations.csv,Minutes,Raw whole number minutes engaged in behavior for one lap
BehaviorAllocations_RawObservations.csv,minutes.to.seconds,Convert minutes to second (multiplied by 60)
BehaviorAllocations_RawObservations.csv,Seconds,Raw whole number seconds engaged in behavior for one lap
BehaviorAllocations_RawObservations.csv,hundreth.of.second,Raw whole number hundreth of a second engaged in behavior for one lap
BehaviorAllocations_RawObservations.csv,total.seconds,Total length of lap displayed in total seconds
BehaviorAllocations_SummarizedObservations.csv,Year,"Year when observations occurred. Could be 2016, 2017, or 2018."
BehaviorAllocations_SummarizedObservations.csv,Site,"Field site location where observations occurred. Could be Boone, IA, Rochester, MN, or Ames, IA."
BehaviorAllocations_SummarizedObservations.csv,ID,"Identifer for each individual butterfly observed. Numbers/labels have no significance, just meant to ID individuals."
BehaviorAllocations_SummarizedObservations.csv,Date,Date observations occurred (month/day/year)
BehaviorAllocations_SummarizedObservations.csv,DaysCaptive,Butterflies were captured and held in captivity for 0-5 days. DaysCaptive is how long a butterfly was held before it was observed
BehaviorAllocations_SummarizedObservations.csv,MF,Butterfly observed was male (M) or female (F)
BehaviorAllocations_SummarizedObservations.csv,Weight,Weight of butterfly observed in grams
BehaviorAllocations_SummarizedObservations.csv,TagUntag,Butterfly observed was untagged or sham-tagged (tagged) with a 300mg watch battery sham transmitter.
BehaviorAllocations_SummarizedObservations.csv,Temp,Temperature right before monarch was released for observation collected with an anomometer. 
BehaviorAllocations_SummarizedObservations.csv,WindSpeed,Wind speed right before monarch was released for observation collected with an anomometer. 
BehaviorAllocations_SummarizedObservations.csv,WindDirection,Wind direction right before monarch was released for observation collected with an anomometer. 
BehaviorAllocations_SummarizedObservations.csv,CloudCover,Cloud cover right before monarch was released for observation collected with an anomometer. 
BehaviorAllocations_SummarizedObservations.csv,ReleaseSubstraight,Plant that the monarch was released on for observation
BehaviorAllocations_SummarizedObservations.csv,Total.seconds,Total time butterfly was observed in seconds (sum of total seconds for each individual in BehaviorAllocations_RawObservations.csv)
BehaviorAllocations_SummarizedObservations.csv,secPlant,Total seconds classified as on-plant for each individual
BehaviorAllocations_SummarizedObservations.csv,secFly,Total seconds classified as in-air for each individual
BehaviorAllocations_SummarizedObservations.csv,secRest,Total seconds classified as rest for each individual
BehaviorAllocations_SummarizedObservations.csv,secFeed,Total seconds classified as feed for each individual
BehaviorAllocations_SummarizedObservations.csv,perc.plant,Proportion of total time observed on-plant (secPlant/Total.Seconds)
BehaviorAllocations_SummarizedObservations.csv,perc.fly,Proportion of total time observed in-air (secFly/Total.Seconds)
BehaviorAllocations_SummarizedObservations.csv,perc.rest,Proportion of total time on-plant observed resting (secRest/secPlant)
