Operator,EstimationOrder,ID,Northing,Easting,Bearing,Monarch
Anthony,2,F1,4662870.62,437437.67,65,a
Cory,2,F1,4662928.52,437657.85,283,a
Julia,2,F1,4662873.11,437659.02,301,a
Anthony,3,F1,4662870.62,437437.67,65,a
Cory,3,F1,4662928.52,437657.85,270,a
Julia,3,F1,4662873.11,437659.02,294,a
Alec,4,F1,4662939.07,437482.1,114,a
Anthony,4,F1,4662870.62,437437.67,65,a
Julia,4,F1,4662873.11,437659.02,290,a
Alec,5,F1,4662939.07,437482.1,114,a
Anthony,5,F1,4662870.62,437437.67,65,a
Cory,5,F1,4662928.52,437657.85,262,a
Anthony,6,F1,4662870.62,437437.67,65,a
Cory,6,F1,4662928.52,437657.85,273,a
Julia,6,F1,4662873.11,437659.02,297,a
Alec,7,F1,4662939.07,437482.1,114,a
Cory,7,F1,4662928.52,437657.85,250,a
Julia,7,F1,4662873.11,437659.02,298,a
Alec,8,F1,4662939.07,437482.1,114,a
Anthony,8,F1,4662870.62,437437.67,65,a
Cory,8,F1,4662928.52,437657.85,253,a
Julia,8,F1,4662873.11,437659.02,297,a
Alec,9,F1,4662939.07,437482.1,116,a
Anthony,9,F1,4662870.62,437437.67,65,a
Cory,9,F1,4662928.52,437657.85,254,a
Julia,9,F1,4662873.11,437659.02,291,a
Alec,10,F1,4662939.07,437482.1,115,a
Anthony,10,F1,4662870.62,437437.67,64,a
Cory,10,F1,4662928.52,437657.85,263,a
Alec,11,F1,4662939.07,437482.1,114,a
Anthony,11,F1,4662870.62,437437.67,64,a
Cory,11,F1,4662928.52,437657.85,253,a
Julia,11,F1,4662873.11,437659.02,295,a
Alec,12,F1,4662939.07,437482.1,114,a
Anthony,12,F1,4662870.62,437437.67,68,a
Julia,12,F1,4662873.11,437659.02,289,a
Alec,13,F1,4662939.07,437482.1,123,a
Anthony,13,F1,4662870.62,437437.67,74,a
Cory,13,F1,4662928.52,437657.85,261,a
Alec,14,F1,4662939.07,437482.1,125,a
Anthony,14,F1,4662870.62,437437.67,74,a
Julia,14,F1,4662873.11,437659.02,284,a
